level_2,function_id,chn_description
MacrosoftExcel,数据可视化,"制作一个双轴折线图，以比较销售额和成本之间的关系。"
MacrosoftExcel,数据可视化,"根据这组数据创建一个地理热力图，展示销售在各地区的分布。"
MacrosoftExcel,数据可视化,"使用这些数据绘制一个雷达图，以比较不同产品的性能指标。"
MacrosoftExcel,数据可视化,"根据这组数据创建一个甘特图，以展示项目进度。"
MacrosoftExcel,数据可视化,"使用这些数据制作一个箱线图，以分析不同部门的工资差距。"
MacrosoftExcel,数据整理,"删除这个数据表中的重复行。"
MacrosoftExcel,数据整理,"将这个数据表中的名字和姓氏拆分成两列。"
MacrosoftExcel,数据整理,"在这个数据表中，将日期列转换为统一的格式。"
MacrosoftExcel,数据整理,"使用透视表对这组销售数据进行汇总，按产品类别和区域进行分组。"
MacrosoftExcel,数据整理,"使用条件格式突出显示这个数据表中的异常值。"
MacrosoftExcel,数据整理,"使用数据验证创建一个下拉菜单，以限制某列中的输入选项。"
MacrosoftExcel,数据整理,"使用公式在这个数据表中计算每个产品的利润率。"
MacrosoftExcel,预算与财务分析,"创建一个简单的家庭预算表。"
MacrosoftExcel,预算与财务分析,"使用这些数据为一个小企业创建一份详细的年度预算。"
MacrosoftExcel,预算与财务分析,"根据这些财务数据计算公司的主要财务比率。"
MacrosoftExcel,预算与财务分析,"使用这些数据为项目创建一个现金流量表。"
MacrosoftExcel,预算与财务分析,"分析这个投资组合，计算收益率和风险度量。"
MacrosoftExcel,预算与财务分析,"基于这些财务数据，评估公司的盈利能力、流动性和负债水平。"
MacrosoftExcel,预算与财务分析,"使用这些数据为一个项目创建一个灵敏度分析表。"
MacrosoftExcel,预算与财务分析,"基于这些数据，评估一项潜在投资的净现值"
MacrosoftExcel,生成报告,"为这组数据创建一个简单的文本报告。"
MacrosoftExcel,生成报告,"为这个数据集生成一个包含关键指标和趋势的分析报告。"
MacrosoftExcel,生成报告,"分析这个数据集，并创建一个涵盖关键发现和建议的报告。"
MacrosoftExcel,生成报告,"使用这些数据为一个团队创建一个详细的绩效报告。"
MacrosoftExcel,生成报告,"根据这个数据表生成一个可视化仪表板报告，展示关键业务指标。"
MacrosoftExcel,预测与模型,"基于这个时间序列数据创建一个简单的预测模型。"
MacrosoftExcel,预测与模型,"使用这组销售数据创建一个季节性趋势预测模型。"
MacrosoftExcel,预测与模型,"根据这些数据，创建一个基于多元线性回归的预测模型。"
MacrosoftExcel,预测与模型,"使用这个数据集创建一个基于机器学习的分类模型。"
MacrosoftExcel,预测与模型,"分析这组数据，创建一个基于神经网络的预测模型。"
MacrosoftPowerPoin,设计幻灯片,"创建一个简单的关于[主题]的幻灯片。"
MacrosoftPowerPoin,设计幻灯片,"设计一个引人注目的[主题]演示文稿，包括5个幻灯片。"
MacrosoftPowerPoin,设计幻灯片,"为这个[类型]的会议创建一个包含10个幻灯片的专业演示文稿。"
MacrosoftPowerPoin,布局与排版,"提供一个简洁干净的幻灯片布局设计建议。"
MacrosoftPowerPoin,布局与排版,"设计一个适用于[主题]的创意幻灯片布局。"
MacrosoftPowerPoin,布局与排版,"为这个[主题]的演示文稿优化文字排版和元素布局。"
MacrosoftPowerPoin,图表与图形,"为这组数据创建一个简单的柱状图。"
MacrosoftPowerPoin,图表与图形,"使用这些数据创建一个动态的饼图来展示各部分的占比。"
MacrosoftPowerPoin,图表与图形,"根据这些数据绘制一个趋势线图，展示关键指标随时间的变化。"
MacrosoftPowerPoin,动画与过渡,"为这个幻灯片添加一个简单的切换效果。"
MacrosoftPowerPoin,动画与过渡,"为这个演示文稿中的图表添加动画效果。"
MacrosoftPowerPoin,动画与过渡,"设计一套统一的过渡效果和动画，以提升这个演示文稿的观感。"
MacrosoftPowerPoin,演讲稿与备注,"为这个关于[主题]的幻灯片编写一个简短的演讲稿。"
MacrosoftPowerPoin,演讲稿与备注,"为这个[主题]的演示文稿编写详细的备注，以辅助演讲者。"
MacrosoftPowerPoin,演讲稿与备注,"根据这个幻灯片内容，撰写一个吸引听众注意力的开场白。"
MacrosoftPowerPoin,邮件撰写,"草拟一个关于[主题]的简短电子邮件。"
MacrosoftPowerPoin,邮件撰写,"编写一个正式的邀请函，邀请客户参加一个活动。"
MacrosoftPowerPoin,邮件撰写,"撰写一封感谢信，感谢合作伙伴在项目中的贡献。"
MacrosoftPowerPoin,邮件回复,"回复这封询问[产品/服务]信息的电子邮件。"
MacrosoftPowerPoin,邮件回复,"为这封关于[主题]的投诉信提供一个专业的回应。"
MacrosoftPowerPoin,邮件回复,"回复这封关于[主题]的建议信，表示感激并给出回应。"
MacrosoftPowerPoin,邮件管理,"提供一些建议，帮助我更有效地管理我的收件箱。"
MacrosoftPowerPoin,邮件管理,"创建一个邮件分类规则，以自动对收到的电子邮件进行归类。"
MacrosoftPowerPoin,邮件管理,"为我提供一些设置邮件"
MacrosoftPowerPoin,日程管理,"创建一个简单的会议邀请，包括日期、时间和地点。"
MacrosoftPowerPoin,日程管理,"为我安排一周的工作日程，包括会议、任务和项目截止日期。"
MacrosoftPowerPoin,日程管理,"建立一个重复事件，以便每周安排一个固定的团队会议。"
MacrosoftPowerPoin,日程管理,"为即将到来的项目创建一个详细的日程计划。"
MacrosoftPowerPoin,日程管理,"分析我的日程安排，给出一些建议以提高工作效率。"
MacrosoftPowerPoin,任务管理,"创建一个简单的任务清单，包括优先级和截止日期。"
MacrosoftPowerPoin,任务管理,"帮我规划一个项目，包括各个阶段的任务和责任人。"
MacrosoftPowerPoin,任务管理,"为我提供一些建议，以更有效地管理我的待办事项。"
MacrosoftPowerPoin,任务管理,"分析我的任务列表，找出可能导致延误的关键任务。"
MacrosoftPowerPoin,任务管理,"根据我的工作习惯和任务清单，建议一种合适的任务管理方法。"
MacrosoftOneNote,笔记整理,"创建一个简洁的关于[主题]的笔记模板。"
MacrosoftOneNote,笔记整理,"为这些无序的笔记创建一个清晰的结构和布局。"
MacrosoftOneNote,笔记整理,"提供一些建议，帮助我更有效地整理我的笔记。"
MacrosoftOneNote,会议记录,"编写一个简单的会议纪要，包括关键点和决策。"
MacrosoftOneNote,会议记录,"为这次会议创建一个详细的记录，包括参与者、讨论主题和行动事项。"
MacrosoftOneNote,会议记录,"提供一些建议，帮助我更有效地记录会议内容。"
MacrosoftOneNote,学习笔记,"创建一个关于[主题]的学习笔记模板。"
MacrosoftOneNote,学习笔记,"根据这些教材和课程内容，为我整理一份学习笔记。"
MacrosoftOneNote,学习笔记,"分析这些笔记，为我提供一些建议以提高学习效果。"
MacrosoftOneNote,项目管理,"创建一个项目计划的概述，包括关键阶段和任务。"
MacrosoftOneNote,项目管理,"为这个项目创建一个详细的时间表和里程碑清单。"
MacrosoftOneNote,项目管理,"分析这个项目计划，提供一些建议以改进和优化。"
MacrosoftOneNote,知识库和资源整理,"为这些关于[主题]的资源创建一个有组织的知识库。"
MacrosoftOneNote,知识库和资源整理,"为我提供一些建议，以便更好地整理和共享这些资源。"
MacrosoftOneNote,知识库和资源整理,"根据我已有的资源，提供一些建议以发现新的学习材料和信息。"
