function_id,chn_description
游戏推荐,我喜欢像素风格的游戏，能给我推荐一些吗？
美食推荐,我想尝试一下地道的川菜，有什么菜品推荐吗？
美食推荐,我想学做一道简单的意大利面，有什么食谱推荐？
美食推荐,请推荐一些适合素食者的菜品。
美食推荐,我想尝试一下日本料理，有什么必尝的菜品吗？
美食推荐,我喜欢甜点，能推荐一些经典的甜点食谱吗？
美食推荐,请推荐一些适合早餐的健康食谱。
美食推荐,我想学做一道地道的法国大餐，有什么建议？
美食推荐,我想尝试一下印度美食，有什么菜品推荐吗？
美食推荐,请推荐一些适合聚会的美食。
美食推荐,我想学习制作寿司，有什么食谱和技巧推荐吗？
健身建议,我想开始锻炼，有什么初级的锻炼计划推荐吗？
健身建议,我想学习瑜伽，能推荐一些瑜伽动作吗？
健身建议,请推荐一些适合办公室锻炼的简单动作。
健身建议,我想增肌，能给我推荐一套训练计划吗？
健身建议,我想减肥，请推荐一些有氧运动。
健身建议,我想提高柔韧性，有什么建议？
健身建议,我想尝试跑步锻炼，能给我推荐一个跑步计划吗？
健身建议,我想学习游泳，有什么技巧和建议吗？
健身建议,请推荐一些适合孕妇的锻炼方法。
健身建议,我想尝试高强度间歇训练（HIIT），有什么建议？
艺术与手工艺品,我想学习绘画，有什么技巧和建议吗？
艺术与手工艺品,我想尝试摄影，请推荐一些入门技巧。
艺术与手工艺品,我想制作一件陶瓷作品，有什么技巧和建议？
艺术与手工艺品,我想学习雕塑，请推荐一些入门材料和技巧。
艺术与手工艺品,请推荐一些简单的手工制作活动，适合家庭亲子共同完成。
艺术与手工艺品,我想尝试书法，有什么技巧和建议？
艺术与手工艺品,我想学习舞蹈，请推荐一些适合初学者的舞蹈。
艺术与手工艺品,我想学习吉他，请推荐一些入门教程。
艺术与手工艺品,我想制作一幅拼贴画，有什么技巧和建议？
艺术与手工艺品,我想学习服装设计，请推荐一些入门技巧。
社交活动与聚会,我想组织一次主题派对，请给我一些建议。
社交活动与聚会,我想参加一个读书俱乐部，请推荐一些活动和组织。
社交活动与聚会,我想参加一次户外探险活动，有什么建议吗？
社交活动与聚会,我想组织一个家庭聚会，请推荐一些有趣的游戏。
社交活动与聚会,我想参加一个志愿者组织，能推荐一些吗？
社交活动与聚会,我想组织一个音乐会，请给我一些建议。
社交活动与聚会,我想参加一个创业活动，请推荐一些活动和组织。
社交活动与聚会,我想组织一次慈善募捐活动，有什么建议吗？
社交活动与聚会,我想参加一个健身俱乐部，请推荐一些活动和组织。
社交活动与聚会,我想举办一场艺术展览，请给我一些建议。
购物建议,我想购买一台笔记本电脑，请给我一些建议。
购物建议,我想购买一辆自行车，请推荐一些品牌和型号。
购物建议,我想购买一款手机，请给我一些建议。
购物建议,我想购买一台照相机，请推荐一些品牌和型号。
购物建议,我想购买一套厨具，请给我一些建议。
购物建议,我想购买一款电子阅读器，请推荐一些品牌和型号。
购物建议,我想购买一台洗衣机，请给我一些建议。
购物建议,我想购买一套家具，请推荐一些品牌和款式。
购物建议,我想购买一辆汽车，请给我一些建议。
购物建议,我想购买一款智能手表，请推荐一些品牌和型号。
