"function_id","level_1","level_2","classes","chn_description","eng_description","jpn_description","kor_description","deu_description","fra_description"
"休闲娱乐_none_美食推荐","休闲娱乐","休闲娱乐_none",,"美食推荐","Food recommendations","食べ物のおすすめ","음식 추천","Essensempfehlungen","Recommandations de nourriture"
"休闲娱乐_none_艺术与手工艺品","休闲娱乐","休闲娱乐_none",,"艺术与手工艺品","Art and handicrafts","アートと手工芸","예술과 공예","Kunst und Handwerk","Art et artisanat"
"休闲娱乐_none_购物建议","休闲娱乐","休闲娱乐_none",,"购物建议","Shopping advice","ショッピングのアドバイス","쇼핑 조언","Einkaufsberatung","Conseils d'achat"
"休闲娱乐_none_阅读推荐","休闲娱乐","休闲娱乐_none",,"阅读推荐","Reading recommendations","読書のおすすめ","읽을 거리 추천","Lesetipps","Recommandations de lecture"
"休闲娱乐_none_音乐推荐","休闲娱乐","休闲娱乐_none",,"音乐推荐","Music recommendations","音楽のおすすめ","음악 추천","Musik-Empfehlungen","Recommandations musicales"
"学业辅导_none_作业辅导","学业辅导","学业辅导_none",,"作业辅导","Homework tutoring","宿題の家庭教師","숙제 지도","Hausaufgabentutoring","Tutorat en devoirs"
"学业辅导_none_作文辅导","学业辅导","学业辅导_none",,"作文辅导","Composition tutoring","作文の指導","컴포지션 튜터링","Kompositionstutoring","Tutorat en composition"
"学业辅导_none_实验报告和科学研究","学业辅导","学业辅导_none",,"实验报告和科学研究","Experimental report and scientific research","実験報告と科学研究","실험 보고서 및 과학 연구","Experimenteller Bericht und wissenschaftliche Forschung","Rapport expérimental et recherche scientifique"
"学业辅导_none_演讲和口头报告","学业辅导","学业辅导_none",,"演讲和口头报告","Speech and oral report","スピーチと口頭報告","연설과 구두 보고서","Rede und mündlicher Bericht","Discours et rapport oral"
"学业辅导_none_职业探索","学业辅导","学业辅导_none",,"职业探索","Career exploration","キャリアの探求","직업 탐색","Karriereerkundung","Exploration de carrière"
"学业辅导_none_语言学习","学业辅导","学业辅导_none",,"语言学习","Language learning","言語学習","언어 학습","Sprachenlernen","Apprentissage des langues"
"教师教学_none_个性化教学","教师教学","教师教学_none",,"个性化教学","Personalized teaching","個別指導","개인 맞춤형 교육","Individueller Unterricht","Enseignement personnalisé"
"教师教学_none_制定考试与测验","教师教学","教师教学_none",,"制定考试与测验","Test and exam design","テストと試験の設計","테스트 및 시험 설계","Test- und Prüfungsgestaltung","Conception de tests et d'examens"
"教师教学_none_教学方法更新","教师教学","教师教学_none",,"教学方法更新","Teaching method update","教育方法の更新","교육 방법 업데이트","Aktualisierung der Unterrichtsmethode","Mise à jour de la méthode d'enseignement"
"教师教学_none_课程规划","教师教学","教师教学_none",,"课程规划","Curriculum planning","カリキュラムの計画","교육과정 계획","Curriculum-Planung","Planification du programme"
"文案生成_none_个人陈述","文案生成","文案生成_none",,"个人陈述","Personal statement","個人声明","개인 선언","Persönliche Erklärung","Déclaration personnelle"
"文案生成_none_创意写作","文案生成","文案生成_none",,"创意写作","Creative writing","創意寫作","창의적인 글쓰기","Kreatives Schreiben","Ecriture créative"
"文案生成_none_商务写作","文案生成","文案生成_none",,"商务写作","Business writing","ビジネスライティング","비즈니스 쓰기","Geschäftsschrift","Rédaction commerciale"
"文案生成_none_学术写作","文案生成","文案生成_none",,"学术写作","Academic writing","学術論文の執筆","학술적 글쓰기","Akademisches Schreiben","Rédaction académique"
"文案生成_none_影评写作","文案生成","文案生成_none",,"影评写作","Film review writing","映画レビューの執筆","영화 리뷰 작성","Filmkritik schreiben","Ecriture de critique de film"
"文案生成_none_提供写作思路","文案生成","文案生成_none",,"提供写作思路","Providing writing ideas","ライティングアイデアの提供","글쓰기 아이디어 제공","Bereitstellung von Schreibideen","Fourniture d'idées d'écriture"
"文案生成_none_教程写作","文案生成","文案生成_none",,"教程写作","Tutorial writing","チュートリアルライティング","튜토리얼 작성","Tutorial schreiben","Rédaction de tutoriels"
"文案生成_none_科普写作","文案生成","文案生成_none",,"科普写作","Popular science writing","科学普及文章的撰写","인기 과학 글쓰기","Populärwissenschaftliches Schreiben","Ecriture de vulgarisation scientifique"
"文案生成_none_自传体写作","文案生成","文案生成_none",,"自传体写作","Autobiographical writing","自伝的な執筆","자서전적 글쓰기","Autobiografisches Schreiben","Ecriture autobiographique"
"礼物挑选_none_圣诞节礼物","礼物挑选","礼物挑选_none",,"圣诞节礼物","Christmas gifts","クリスマスギフト","크리스마스 선물","Weihnachtsgeschenke","Cadeaux de Noël"
"礼物挑选_none_感恩节礼物","礼物挑选","礼物挑选_none",,"感恩节礼物","Thanksgiving gifts","感謝祭のギフト","감사절 선물","Dankeschön-Geschenke","Cadeaux de Thanksgiving"
"礼物挑选_none_新婚礼物","礼物挑选","礼物挑选_none",,"新婚礼物","Wedding gifts","ウェディングギフト","웨딩 선물","Hochzeitsgeschenke","Cadeaux de mariage"
"礼物挑选_none_新家礼物","礼物挑选","礼物挑选_none",,"新家礼物","Housewarming gifts","新築祝いのギフト","집들이 선물","Einweihungsgeschenke","Cadeaux pendaison de crémaillère"
"礼物挑选_none_新手父母礼物","礼物挑选","礼物挑选_none",,"新手父母礼物","New parents gifts","新しい親のギフト","새로운 부모님 선물","Geschenke für neue Eltern","Cadeaux de nouveaux parents"
"礼物挑选_none_晋升礼物","礼物挑选","礼物挑选_none",,"晋升礼物","Promotion gifts","昇進祝いのギフト","승진 선물","Beförderungsgeschenke","Cadeaux de promotion"
"礼物挑选_none_母亲节礼物","礼物挑选","礼物挑选_none",,"母亲节礼物","Mother's Day gifts","母の日ギフト","어머니 날 선물","Muttertagsgeschenke","Cadeaux de la fête des mères"
"礼物挑选_none_毕业礼物","礼物挑选","礼物挑选_none",,"毕业礼物","Graduation gifts","卒業祝いのギフト","졸업 선물","Abschlussgeschenke","Cadeaux de graduation"
"礼物挑选_none_父亲节礼物","礼物挑选","礼物挑选_none",,"父亲节礼物","Father's Day gifts","父の日ギフト","아버지 날 선물","Vatertagsgeschenke","Cadeaux de la fête des pères"
"礼物挑选_none_生日礼物","礼物挑选","礼物挑选_none",,"生日礼物","Birthday gifts","誕生日プレゼント","생일 선물","Geburtstagsgeschenke","Cadeaux d'anniversaire"
"礼物挑选_none_结婚纪念日礼物","礼物挑选","礼物挑选_none",,"结婚纪念日礼物","Anniversary gifts","結婚記念日のギフト","결혼 기념일 선물","Jahrestagsgeschenke","Cadeaux d'anniversaire de mariage"
"礼物挑选_none_退休礼物","礼物挑选","礼物挑选_none",,"退休礼物","Retirement gifts","退職のお祝いギフト","은퇴 선물","Ruhestandsgeschenke","Cadeaux de retraite"
"科研帮助_none_实验数据分析","科研帮助","科研帮助_none",,"实验数据分析","Experimental data analysis","実験データ分析","실험 데이터 분석","Experimentelle Datenanalyse","Analyse de données expérimentales"
"科研帮助_none_帮助rebuttal","科研帮助","科研帮助_none",,"帮助rebuttal","Help with rebuttal","反論の助け","반박 도움","Hilfe bei Widerlegung","Aide à la réfutation"
"科研帮助_none_帮助论文润色","科研帮助","科研帮助_none",,"帮助论文润色","Help with paper polishing","論文の磨きを助ける","논문 다듬는 데 도움","Hilfe bei der Papierpolitur","Aide au polissage du papier"
"科研帮助_none_总结文献","科研帮助","科研帮助_none",,"总结文献","Summarize literature","文献をまとめる","문헌 요약","Literatur zusammenfassen","Résumer la littérature"
"科研帮助_none_让ChatGPT扮演审稿人","科研帮助","科研帮助_none",,"让ChatGPT扮演审稿人","Let ChatGPT play the role of reviewer","ChatGPTを査読者の役割に立たせる","ChatGPT가 심사위원의 역할을하게하십시오","Lassen Sie ChatGPT die Rolle des Gutachters spielen","Laissez ChatGPT jouer le rôle de relecteur"
"语言学习_none_写作指导","语言学习","语言学习_none",,"写作指导","Writing guidance","ライティングガイダンス","쓰기 지도","Schreibberatung","Guidance en écriture"
"语言学习_none_单词记忆","语言学习","语言学习_none",,"单词记忆","Vocabulary memorization","語彙の記憶","어휘 기억","Vokabeln merken","Mémorisation du vocabulaire"
"语言学习_none_对话练习","语言学习","语言学习_none",,"对话练习","Conversation practice","会話練習","회화 연습","Konversationspraxis","Pratique de la conversation"
"语言学习_none_文化了解 ","语言学习","语言学习_none",,"文化了解 ","Cultural understanding","文化的理解","문화 이해","Kulturelles Verständnis","Compréhension culturelle"
"语言学习_none_翻译练习","语言学习","语言学习_none",,"翻译练习","Translation practice","翻訳の練習","번역 연습","Übersetzungspraxis","Pratique de la traduction"
"语言学习_none_角色扮演 ","语言学习","语言学习_none",,"角色扮演 ","Role-playing","ロールプレイ","역할 연기","Rollenspiel","Jeu de rôle"
"语言学习_none_语法练习","语言学习","语言学习_none",,"语法练习","Grammar practice","文法練習","문법 연습","Grammatikübung","Exercice de grammaire"
"语言学习_none_阅读理解 ","语言学习","语言学习_none",,"阅读理解 ","Reading comprehension","読解力","독해력","Leseverständnis","Compréhension de lecture"
