"prompt_id","function_id","priority","model","language_code","content","chat","author","prompt_semantic_id"
"13","office_MacrosoftWord_撰写报告","0","chatGPT","chn","为[组织类型]撰写一份全面的[报告类型]，包括[内容要点]。",,"whm","20230321_tspfzaspsz"
"14","office_MacrosoftWord_撰写报告","0","chatGPT","chn","撰写一份简短的市场调查报告，介绍某品牌的主要竞争优势。",,"whm","20230321_ikfxwgsiqg"
"15","office_MacrosoftWord_撰写报告","0","chatGPT","chn","根据提供的数据，编写一份涵盖销售、市场份额和预测的详细行业分析报告。",,"whm","20230321_nnwyxzaaid"
"16","office_MacrosoftWord_撰写报告","0","chatGPT","chn","为一家公司撰写一份全面的年度财务报告，包括财务状况、盈利能力分析和未来发展建议。",,"whm","20230321_zaeepujalq"
"17","office_MacrosoftWord_草拟简历","0","chatGPT","chn","为一名[经历类型]的[职业]撰写一份简洁的简历。",,"whm","20230321_ehwsqhdalh"
"18","office_MacrosoftWord_草拟简历","0","chatGPT","chn","为一名拥有[工作经验年限]的[职业]撰写一份专业的简历。",,"whm","20230321_agrpjqxhif"
"19","office_MacrosoftWord_草拟简历","0","chatGPT","chn","为一名寻求[发展方向]的[职业]撰写一份全面且引人注目的简历。",,"whm","20230321_fqxzrvmhlh"
"20","office_MacrosoftWord_文档格式调整","0","chatGPT","chn","将以下[文本类型]调整为符合[引用格式]的引用样式：“[待调整文本]。”",,"whm","20230321_vomybuzvkb"
"21","office_MacrosoftWord_文档格式调整","0","chatGPT","chn","将一篇论文的参考文献部分调整为符合APA",,"whm","20230321_fflikmrlxe"
"22","office_MacrosoftWord_文档格式调整","0","chatGPT","chn","为一份商业计划书设计合适的目录和页面布局，同时确保满足公司品牌要求。",,"whm","20230321_wqiczdshpl"
"23","office_MacrosoftExcel_数据分析","0","chatGPT","chn","计算这组数据的平均值和标准差。",,"whm","20230321_xshmguhoas"
"24","office_MacrosoftExcel_数据分析","0","chatGPT","chn","对这组销售数据执行线性回归分析。",,"whm","20230321_qxqvpjrnhw"
"25","office_MacrosoftExcel_数据分析","0","chatGPT","chn","使用这些数据创建一个预测模型。",,"whm","20230321_dposiyaqan"
"26","office_MacrosoftExcel_数据分析","0","chatGPT","chn","分析这个数据集，找出关键指标之间的相关性。",,"whm","20230321_aiihqsgkeb"
"27","office_MacrosoftExcel_数据分析","0","chatGPT","chn","对这组客户数据进行聚类分析，以发现潜在市场细分。",,"whm","20230321_hxweyeuvgs"
"28","office_MacrosoftExcel_数据分析","0","chatGPT","chn","分析公司财务数据，找出收入增长的关键驱动因素。",,"whm","20230321_wnsyzhdwcy"
"29","office_MacrosoftExcel_数据分析","0","chatGPT","chn","根据这组产品销售数据，计算产品组合的夏普比率。",,"whm","20230321_ivnusmhiwk"
"30","office_MacrosoftExcel_数据分析","0","chatGPT","chn","使用蒙特卡洛模拟预测公司未来一年的现金流。",,"whm","20230321_quulpvzcln"
"31","office_MacrosoftExcel_数据可视化","0","chatGPT","chn","使用这些数据创建一个简单的柱状图。",,"whm","20230321_lrnxmncsch"
"32","office_MacrosoftExcel_数据可视化","0","chatGPT","chn","根据这组数据制作一个堆积柱状图，展示各产品类别的销售情况。",,"whm","20230321_ofstduipsv"
"33","office_MacrosoftExcel_数据可视化","0","chatGPT","chn","使用这些数据创建一个动态散点图，以展示随时间变化的趋势。",,"whm","20230321_oaohsgbifd"
"34","office_MacrosoftExcel_数据可视化","0","chatGPT","chn","制作一个双轴折线图，以比较销售额和成本之间的关系。",,"whm","20230321_kslwoubqly"
"35","office_MacrosoftExcel_数据可视化","0","chatGPT","chn","根据这组数据创建一个地理热力图，展示销售在各地区的分布。",,"whm","20230321_bakvwvzqdl"
"36","office_MacrosoftExcel_数据可视化","0","chatGPT","chn","使用这些数据绘制一个雷达图，以比较不同产品的性能指标。",,"whm","20230321_xrmjoydqoa"
"37","office_MacrosoftExcel_数据可视化","0","chatGPT","chn","根据这组数据创建一个甘特图，以展示项目进度。",,"whm","20230321_xsfjfjraaf"
"38","office_MacrosoftExcel_数据可视化","0","chatGPT","chn","使用这些数据制作一个箱线图，以分析不同部门的工资差距。",,"whm","20230321_nqaygvjuda"
"39","office_MacrosoftExcel_数据整理","0","chatGPT","chn","删除这个数据表中的重复行。",,"whm","20230321_hnvnfrjxyn"
"40","office_MacrosoftExcel_数据整理","0","chatGPT","chn","将这个数据表中的名字和姓氏拆分成两列。",,"whm","20230321_saaprolluc"
"41","office_MacrosoftExcel_数据整理","0","chatGPT","chn","在这个数据表中，将日期列转换为统一的格式。",,"whm","20230321_dnqdpttkus"
"42","office_MacrosoftExcel_数据整理","0","chatGPT","chn","使用透视表对这组销售数据进行汇总，按产品类别和区域进行分组。",,"whm","20230321_iulecbitwc"
"43","office_MacrosoftExcel_数据整理","0","chatGPT","chn","使用条件格式突出显示这个数据表中的异常值。",,"whm","20230321_ogrlqnwgby"
"44","office_MacrosoftExcel_数据整理","0","chatGPT","chn","使用数据验证创建一个下拉菜单，以限制某列中的输入选项。",,"whm","20230321_letaydaijc"
"45","office_MacrosoftExcel_数据整理","0","chatGPT","chn","使用公式在这个数据表中计算每个产品的利润率。",,"whm","20230321_usjltsdtuc"
"46","office_MacrosoftExcel_预算与财务分析","0","chatGPT","chn","创建一个简单的家庭预算表。",,"whm","20230321_dvigbplqam"
"47","office_MacrosoftExcel_预算与财务分析","0","chatGPT","chn","使用这些数据为一个小企业创建一份详细的年度预算。",,"whm","20230321_ytqvtwdwkc"
"48","office_MacrosoftExcel_预算与财务分析","0","chatGPT","chn","根据这些财务数据计算公司的主要财务比率。",,"whm","20230321_swzlnzxqcs"
"49","office_MacrosoftExcel_预算与财务分析","0","chatGPT","chn","使用这些数据为项目创建一个现金流量表。",,"whm","20230321_sqqdxttdzr"
"50","office_MacrosoftExcel_预算与财务分析","0","chatGPT","chn","分析这个投资组合，计算收益率和风险度量。",,"whm","20230321_utuffwjliy"
"51","office_MacrosoftExcel_预算与财务分析","0","chatGPT","chn","基于这些财务数据，评估公司的盈利能力、流动性和负债水平。",,"whm","20230321_lfgqwktpbo"
"52","office_MacrosoftExcel_预算与财务分析","0","chatGPT","chn","使用这些数据为一个项目创建一个灵敏度分析表。",,"whm","20230321_larwveaphg"
"53","office_MacrosoftExcel_预算与财务分析","0","chatGPT","chn","基于这些数据，评估一项潜在投资的净现值",,"whm","20230321_rgzaqvrfzp"
"54","office_MacrosoftExcel_生成报告","0","chatGPT","chn","为这组数据创建一个简单的文本报告。",,"whm","20230321_avgpjvpjyv"
"55","office_MacrosoftExcel_生成报告","0","chatGPT","chn","为这个数据集生成一个包含关键指标和趋势的分析报告。",,"whm","20230321_otlljndblz"
"56","office_MacrosoftExcel_生成报告","0","chatGPT","chn","分析这个数据集，并创建一个涵盖关键发现和建议的报告。",,"whm","20230321_wacquhofzu"
"57","office_MacrosoftExcel_生成报告","0","chatGPT","chn","使用这些数据为一个团队创建一个详细的绩效报告。",,"whm","20230321_wntdndsbct"
"58","office_MacrosoftExcel_生成报告","0","chatGPT","chn","根据这个数据表生成一个可视化仪表板报告，展示关键业务指标。",,"whm","20230321_efqoamvwdb"
"59","office_MacrosoftExcel_预测与模型","0","chatGPT","chn","基于这个时间序列数据创建一个简单的预测模型。",,"whm","20230321_btmpkrbcxp"
"60","office_MacrosoftExcel_预测与模型","0","chatGPT","chn","使用这组销售数据创建一个季节性趋势预测模型。",,"whm","20230321_prmtcgbjcd"
"61","office_MacrosoftExcel_预测与模型","0","chatGPT","chn","根据这些数据，创建一个基于多元线性回归的预测模型。",,"whm","20230321_gofgmxqiim"
"62","office_MacrosoftExcel_预测与模型","0","chatGPT","chn","使用这个数据集创建一个基于机器学习的分类模型。",,"whm","20230321_wywtnkavct"
"63","office_MacrosoftExcel_预测与模型","0","chatGPT","chn","分析这组数据，创建一个基于神经网络的预测模型。",,"whm","20230321_qzhrdchxsj"
"64","office_MacrosoftPowerPoint_设计幻灯片","0","chatGPT","chn","创建一个简单的关于[主题]的幻灯片。",,"whm","20230321_uecwndomlr"
"65","office_MacrosoftPowerPoint_设计幻灯片","0","chatGPT","chn","设计一个引人注目的[主题]演示文稿，包括5个幻灯片。",,"whm","20230321_rwxoorocje"
"66","office_MacrosoftPowerPoint_设计幻灯片","0","chatGPT","chn","为这个[类型]的会议创建一个包含10个幻灯片的专业演示文稿。",,"whm","20230321_vraolpypbp"
"67","office_MacrosoftPowerPoint_布局与排版","0","chatGPT","chn","提供一个简洁干净的幻灯片布局设计建议。",,"whm","20230321_kmnhqxpvbx"
"68","office_MacrosoftPowerPoint_布局与排版","0","chatGPT","chn","设计一个适用于[主题]的创意幻灯片布局。",,"whm","20230321_knqhbeqwaa"
"69","office_MacrosoftPowerPoint_布局与排版","0","chatGPT","chn","为这个[主题]的演示文稿优化文字排版和元素布局。",,"whm","20230321_alplfleanf"
"70","office_MacrosoftPowerPoint_图表与图形","0","chatGPT","chn","为这组数据创建一个简单的柱状图。",,"whm","20230321_ushthngtbd"
"71","office_MacrosoftPowerPoint_图表与图形","0","chatGPT","chn","使用这些数据创建一个动态的饼图来展示各部分的占比。",,"whm","20230321_fwoewehexm"
"72","office_MacrosoftPowerPoint_图表与图形","0","chatGPT","chn","根据这些数据绘制一个趋势线图，展示关键指标随时间的变化。",,"whm","20230321_znatrctqwi"
"73","office_MacrosoftPowerPoint_动画与过渡","0","chatGPT","chn","为这个幻灯片添加一个简单的切换效果。",,"whm","20230321_pmeumltnfl"
"74","office_MacrosoftPowerPoint_动画与过渡","0","chatGPT","chn","为这个演示文稿中的图表添加动画效果。",,"whm","20230321_kamnwisvis"
"75","office_MacrosoftPowerPoint_动画与过渡","0","chatGPT","chn","设计一套统一的过渡效果和动画，以提升这个演示文稿的观感。",,"whm","20230321_mgogfijcmt"
"76","office_MacrosoftPowerPoint_演讲稿与备注","0","chatGPT","chn","为这个关于[主题]的幻灯片编写一个简短的演讲稿。",,"whm","20230321_fwcgkmbbhd"
"77","office_MacrosoftPowerPoint_演讲稿与备注","0","chatGPT","chn","为这个[主题]的演示文稿编写详细的备注，以辅助演讲者。",,"whm","20230321_ciayvdiigg"
"78","office_MacrosoftPowerPoint_演讲稿与备注","0","chatGPT","chn","根据这个幻灯片内容，撰写一个吸引听众注意力的开场白。",,"whm","20230321_ssfmppgdnl"
"79","office_MacrosoftPowerPoint_邮件撰写","0","chatGPT","chn","草拟一个关于[主题]的简短电子邮件。",,"whm","20230321_piwzateode"
"80","office_MacrosoftPowerPoint_邮件撰写","0","chatGPT","chn","编写一个正式的邀请函，邀请客户参加一个活动。",,"whm","20230321_drzryqrqwz"
"81","office_MacrosoftPowerPoint_邮件撰写","0","chatGPT","chn","撰写一封感谢信，感谢合作伙伴在项目中的贡献。",,"whm","20230321_quszgujnla"
"82","office_MacrosoftPowerPoint_邮件回复","0","chatGPT","chn","回复这封询问[产品/服务]信息的电子邮件。",,"whm","20230321_ybmaofvccr"
"83","office_MacrosoftPowerPoint_邮件回复","0","chatGPT","chn","为这封关于[主题]的投诉信提供一个专业的回应。",,"whm","20230321_vcvudfvrdz"
"84","office_MacrosoftPowerPoint_邮件回复","0","chatGPT","chn","回复这封关于[主题]的建议信，表示感激并给出回应。",,"whm","20230321_pmaatokjka"
"85","office_MacrosoftPowerPoint_邮件管理","0","chatGPT","chn","提供一些建议，帮助我更有效地管理我的收件箱。",,"whm","20230321_vzxbhhgupx"
"86","office_MacrosoftPowerPoint_邮件管理","0","chatGPT","chn","创建一个邮件分类规则，以自动对收到的电子邮件进行归类。",,"whm","20230321_cstymhqsby"
"87","office_MacrosoftPowerPoint_邮件管理","0","chatGPT","chn","为我提供一些设置邮件",,"whm","20230321_nuguaiatyr"
"88","office_MacrosoftPowerPoint_日程管理","0","chatGPT","chn","创建一个简单的会议邀请，包括日期、时间和地点。",,"whm","20230321_dggqwrsncm"
"89","office_MacrosoftPowerPoint_日程管理","0","chatGPT","chn","为我安排一周的工作日程，包括会议、任务和项目截止日期。",,"whm","20230321_tygzhgimvm"
"90","office_MacrosoftPowerPoint_日程管理","0","chatGPT","chn","建立一个重复事件，以便每周安排一个固定的团队会议。",,"whm","20230321_qedoguhubf"
"91","office_MacrosoftPowerPoint_日程管理","0","chatGPT","chn","为即将到来的项目创建一个详细的日程计划。",,"whm","20230321_tutlphcmni"
"92","office_MacrosoftPowerPoint_日程管理","0","chatGPT","chn","分析我的日程安排，给出一些建议以提高工作效率。",,"whm","20230321_gvsilfwyxz"
"93","office_MacrosoftPowerPoint_任务管理","0","chatGPT","chn","创建一个简单的任务清单，包括优先级和截止日期。",,"whm","20230321_ocuvzjltnt"
"94","office_MacrosoftPowerPoint_任务管理","0","chatGPT","chn","帮我规划一个项目，包括各个阶段的任务和责任人。",,"whm","20230321_alvyzhuhlp"
"95","office_MacrosoftPowerPoint_任务管理","0","chatGPT","chn","为我提供一些建议，以更有效地管理我的待办事项。",,"whm","20230321_axojfetixw"
"96","office_MacrosoftPowerPoint_任务管理","0","chatGPT","chn","分析我的任务列表，找出可能导致延误的关键任务。",,"whm","20230321_ucnfmjfafo"
"97","office_MacrosoftPowerPoint_任务管理","0","chatGPT","chn","根据我的工作习惯和任务清单，建议一种合适的任务管理方法。",,"whm","20230321_pkezmuqufx"
"98","office_MacrosoftOneNote_笔记整理","0","chatGPT","chn","创建一个简洁的关于[主题]的笔记模板。",,"whm","20230321_xqjhxvarkm"
"99","office_MacrosoftOneNote_笔记整理","0","chatGPT","chn","为这些无序的笔记创建一个清晰的结构和布局。",,"whm","20230321_rqgyklyxrd"
"100","office_MacrosoftOneNote_笔记整理","0","chatGPT","chn","提供一些建议，帮助我更有效地整理我的笔记。",,"whm","20230321_uqlhswaqxy"
"101","office_MacrosoftOneNote_会议记录","0","chatGPT","chn","编写一个简单的会议纪要，包括关键点和决策。",,"whm","20230321_ckajcjapkf"
"102","office_MacrosoftOneNote_会议记录","0","chatGPT","chn","为这次会议创建一个详细的记录，包括参与者、讨论主题和行动事项。",,"whm","20230321_gizfqkxbqr"
"103","office_MacrosoftOneNote_会议记录","0","chatGPT","chn","提供一些建议，帮助我更有效地记录会议内容。",,"whm","20230321_guydosuzjn"
"104","office_MacrosoftOneNote_学习笔记","0","chatGPT","chn","创建一个关于[主题]的学习笔记模板。",,"whm","20230321_uyyyfmexpk"
"105","office_MacrosoftOneNote_学习笔记","0","chatGPT","chn","根据这些教材和课程内容，为我整理一份学习笔记。",,"whm","20230321_jrwppfjfnh"
"106","office_MacrosoftOneNote_学习笔记","0","chatGPT","chn","分析这些笔记，为我提供一些建议以提高学习效果。",,"whm","20230321_dmuftvgdzb"
"107","office_MacrosoftOneNote_项目管理","0","chatGPT","chn","创建一个项目计划的概述，包括关键阶段和任务。",,"whm","20230321_femkblplpi"
"108","office_MacrosoftOneNote_项目管理","0","chatGPT","chn","为这个项目创建一个详细的时间表和里程碑清单。",,"whm","20230321_kbfdfdzsmk"
"109","office_MacrosoftOneNote_项目管理","0","chatGPT","chn","分析这个项目计划，提供一些建议以改进和优化。",,"whm","20230321_imcakfwejw"
"110","office_MacrosoftOneNote_知识库和资源整理","0","chatGPT","chn","为这些关于[主题]的资源创建一个有组织的知识库。",,"whm","20230321_fgihrbuqok"
"111","office_MacrosoftOneNote_知识库和资源整理","0","chatGPT","chn","为我提供一些建议，以便更好地整理和共享这些资源。",,"whm","20230321_mdpcqarjgx"
"112","office_MacrosoftOneNote_知识库和资源整理","0","chatGPT","chn","根据我已有的资源，提供一些建议以发现新的学习材料和信息。",,"whm","20230321_gatsqhsslj"
"113","科研帮助_none_总结文献","0","chatGPT","chn","总结以下文献的主要观点和结论：{文献标题}。",,"whm","20230321_sqmqwisbon"
"114","科研帮助_none_总结文献","0","chatGPT","chn","请概括{作者}在{文献标题}中的核心论点。",,"whm","20230321_lyzqbqwqxv"
"115","科研帮助_none_总结文献","0","chatGPT","chn","在{文献标题}中，{作者}提出了哪些关键方法和实验结果？",,"whm","20230321_ltfsskxztf"
"116","科研帮助_none_总结文献","0","chatGPT","chn","请提供{文献标题}的简要背景和研究目的。",,"whm","20230321_ennltdmcna"
"117","科研帮助_none_总结文献","0","chatGPT","chn","在{文献标题}中，作者提出了哪些限制和未来研究方向？",,"whm","20230321_lhvlqcsquw"
"118","科研帮助_none_总结文献","0","chatGPT","chn","如何将{文献标题}与{领域}中的其他研究联系起来？",,"whm","20230321_bbnlbtttzv"
"119","科研帮助_none_总结文献","0","chatGPT","chn","请描述{文献标题}中的研究设计和方法。",,"whm","20230321_wihulceorh"
"120","科研帮助_none_总结文献","0","chatGPT","chn","请概述{文献标题}中的主要贡献和启示。",,"whm","20230321_ogmchvxsjo"
"121","科研帮助_none_实验数据分析","0","chatGPT","chn","如何使用{统计方法}分析{数据集}？",,"whm","20230321_uweqirwhor"
"122","科研帮助_none_实验数据分析","0","chatGPT","chn","在{实验设计}的背景下，哪种数据分析方法最适合？",,"whm","20230321_ttnggmsdxx"
"123","科研帮助_none_实验数据分析","0","chatGPT","chn","请解释如何进行{数据分析方法}的步骤。",,"whm","20230321_onmdyhlzll"
"124","科研帮助_none_实验数据分析","0","chatGPT","chn","如何使用{可视化工具}来展示{数据集}的关键发现？",,"whm","20230321_nxdztbhkmz"
"125","科研帮助_none_实验数据分析","0","chatGPT","chn","在{实验结果}中，哪些结果具有统计显著性？",,"whm","20230321_pninbjeahb"
"126","科研帮助_none_实验数据分析","0","chatGPT","chn","请根据{实验结果}提出一些可能的解释和结论。",,"whm","20230321_myowhgemux"
"127","科研帮助_none_实验数据分析","0","chatGPT","chn","如何检验{实验假设}在{数据集}中的有效性？",,"whm","20230321_rayvysucqq"
"128","科研帮助_none_实验数据分析","0","chatGPT","chn","请解释如何使用{统计软件}来处理{实验数据}。",,"whm","20230321_rgviktangg"
"129","科研帮助_none_帮助论文润色","0","chatGPT","chn","请检查以下摘要并提出改进建议：{摘要}。",,"whm","20230321_erdegaudwo"
"130","科研帮助_none_帮助论文润色","0","chatGPT","chn","如何改进以下论文标题以增强吸引力：{论文标题}？",,"whm","20230321_iyuutcpeuf"
"131","科研帮助_none_帮助论文润色","0","chatGPT","chn","请提供以下段落的改写建议：{段落}。",,"whm","20230321_gilecmpgxg"
"132","科研帮助_none_帮助论文润色","0","chatGPT","chn","如何将以下观点更清晰地表达出来：{观点}？",,"whm","20230321_ahqliiwmgr"
"133","科研帮助_none_帮助论文润色","0","chatGPT","chn","请检查以下引用格式是否正确：{引用}。",,"whm","20230321_vfwazpcwpx"
"134","科研帮助_none_帮助论文润色","0","chatGPT","chn","在{论文节选}中，有哪些不清楚或令人困惑的地方？",,"whm","20230321_ezlymosdco"
"135","科研帮助_none_帮助论文润色","0","chatGPT","chn","如何改进以下结论以使其更有说服力：{结论}？",,"whm","20230321_pigguqwacp"
"136","科研帮助_none_帮助论文润色","0","chatGPT","chn","请针对以下论文提出一些建设性的润色建议：{论文节选}。",,"whm","20230321_lbeyccmybx"
"137","科研帮助_none_让ChatGPT扮演审稿人","0","chatGPT","chn","请对以下论文摘要进行审稿：{摘要}。",,"whm","20230321_uqqbnduche"
"138","科研帮助_none_让ChatGPT扮演审稿人","0","chatGPT","chn","在{论文节选}中，有哪些潜在的方法论或实验设计上的问题？",,"whm","20230321_kbmfxllpfj"
"139","科研帮助_none_让ChatGPT扮演审稿人","0","chatGPT","chn","针对{论文标题}，请提出一些建设性的反馈和改进建议。",,"whm","20230321_utvwkypmmu"
"140","科研帮助_none_让ChatGPT扮演审稿人","0","chatGPT","chn","在{论文节选}中，有哪些需要补充或进一步阐述的地方？",,"whm","20230321_tkikbtmoew"
"141","科研帮助_none_让ChatGPT扮演审稿人","0","chatGPT","chn","请评估{论文标题}的研究方法和实验设计的有效性。",,"whm","20230321_hjbdtrezqw"
"142","科研帮助_none_让ChatGPT扮演审稿人","0","chatGPT","chn","在{论文节选}中，作者的论证是否充分？有哪些不足之处？",,"whm","20230321_nszmlyubjn"
"143","科研帮助_none_让ChatGPT扮演审稿人","0","chatGPT","chn","请根据{论文标题}中的实验结果，评估其结论的合理性。",,"whm","20230321_rvioiwzujx"
"144","科研帮助_none_让ChatGPT扮演审稿人","0","chatGPT","chn","请评估{论文标题}的创新性和对{领域}的贡献。",,"whm","20230321_zmvdzsykga"
"145","科研帮助_none_帮助rebuttal","0","chatGPT","chn","审稿人对{论文标题}提出了以下批评：{批评}。如何回应？",,"whm","20230321_yhoiwzdhwb"
"146","科研帮助_none_帮助rebuttal","0","chatGPT","chn","针对审稿人对{实验方法}的质疑，请提供一个合理的解释。",,"whm","20230321_fvspvmsrft"
"147","科研帮助_none_帮助rebuttal","0","chatGPT","chn","审稿人认为{论文节选}中的论证不足，请提供进一步的证据或解释来回应。",,"whm","20230321_jeacxmebzj"
"148","科研帮助_none_帮助rebuttal","0","chatGPT","chn","针对审稿人对{数据分析}的担忧，请解释为何该方法仍然有效。",,"whm","20230321_rsguhyoajb"
"149","科研帮助_none_帮助rebuttal","0","chatGPT","chn","请回应审稿人关于{论文标题}创新性不足的评论。",,"whm","20230321_xfkxffofuy"
"150","科研帮助_none_帮助rebuttal","0","chatGPT","chn","审稿人认为{论文节选}中的结论过于牵强，请提供更有力的论证来支持你的观点。",,"whm","20230321_orsnjzrktj"
"151","科研帮助_none_帮助rebuttal","0","chatGPT","chn","针对审稿人提出的{建议}，请说明为何你认为这不是一个必要的改动。",,"whm","20230321_zkvoeammjr"
"152","科研帮助_none_帮助rebuttal","0","chatGPT","chn","请回应审稿人对{实验设计}的担忧，解释为何这样的设计是合理的。",,"whm","20230321_gshnpuwmcy"
"153","科研帮助_none_总结文献","0","chatGPT","chn","总结以下文献的主要观点和结论：{文献标题}。",,"whm","20230321_duaghpbqeu"
"154","科研帮助_none_总结文献","0","chatGPT","chn","请概括{作者}在{文献标题}中的核心论点。",,"whm","20230321_muthdmgjlr"
"155","科研帮助_none_总结文献","0","chatGPT","chn","在{文献标题}中，{作者}提出了哪些关键方法和实验结果？",,"whm","20230321_akimmdiood"
"156","科研帮助_none_总结文献","0","chatGPT","chn","请提供{文献标题}的简要背景和研究目的。",,"whm","20230321_topvnxiofm"
"157","科研帮助_none_总结文献","0","chatGPT","chn","在{文献标题}中，作者提出了哪些限制和未来研究方向？",,"whm","20230321_leupxvhwcf"
"158","科研帮助_none_总结文献","0","chatGPT","chn","如何将{文献标题}与{领域}中的其他研究联系起来？",,"whm","20230321_zsapvpnqrz"
"159","科研帮助_none_总结文献","0","chatGPT","chn","请描述{文献标题}中的研究设计和方法。",,"whm","20230321_diezoiacro"
"160","科研帮助_none_总结文献","0","chatGPT","chn","请概述{文献标题}中的主要贡献和启示。",,"whm","20230321_ysrhrrejjd"
"161","科研帮助_none_实验数据分析","0","chatGPT","chn","如何使用{统计方法}分析{数据集}？",,"whm","20230321_kjgpxbratx"
"162","科研帮助_none_实验数据分析","0","chatGPT","chn","在{实验设计}的背景下，哪种数据分析方法最适合？",,"whm","20230321_gswuqaapnb"
"163","科研帮助_none_实验数据分析","0","chatGPT","chn","请解释如何进行{数据分析方法}的步骤。",,"whm","20230321_gucqitvqtq"
"164","科研帮助_none_实验数据分析","0","chatGPT","chn","如何使用{可视化工具}来展示{数据集}的关键发现？",,"whm","20230321_lpwgvzcagd"
"165","科研帮助_none_实验数据分析","0","chatGPT","chn","在{实验结果}中，哪些结果具有统计显著性？",,"whm","20230321_frafiwlqvh"
"166","科研帮助_none_实验数据分析","0","chatGPT","chn","请根据{实验结果}提出一些可能的解释和结论。",,"whm","20230321_uxhjultlgk"
"167","科研帮助_none_实验数据分析","0","chatGPT","chn","如何检验{实验假设}在{数据集}中的有效性？",,"whm","20230321_cnsmmiweyx"
"168","科研帮助_none_实验数据分析","0","chatGPT","chn","请解释如何使用{统计软件}来处理{实验数据}。",,"whm","20230321_setynklczt"
"169","科研帮助_none_帮助论文润色","0","chatGPT","chn","请检查以下摘要并提出改进建议：{摘要}。",,"whm","20230321_vzwlworxfw"
"170","科研帮助_none_帮助论文润色","0","chatGPT","chn","如何改进以下论文标题以增强吸引力：{论文标题}？",,"whm","20230321_duvejfjuwf"
"171","科研帮助_none_帮助论文润色","0","chatGPT","chn","请提供以下段落的改写建议：{段落}。",,"whm","20230321_neailkgtat"
"172","科研帮助_none_帮助论文润色","0","chatGPT","chn","如何将以下观点更清晰地表达出来：{观点}？",,"whm","20230321_klnsfpgagl"
"173","科研帮助_none_帮助论文润色","0","chatGPT","chn","请检查以下引用格式是否正确：{引用}。",,"whm","20230321_kbxjnrvgdd"
"174","科研帮助_none_帮助论文润色","0","chatGPT","chn","在{论文节选}中，有哪些不清楚或令人困惑的地方？",,"whm","20230321_fffdzezhaq"
"175","科研帮助_none_帮助论文润色","0","chatGPT","chn","如何改进以下结论以使其更有说服力：{结论}？",,"whm","20230321_xhykphhgwn"
"176","科研帮助_none_帮助论文润色","0","chatGPT","chn","请针对以下论文提出一些建设性的润色建议：{论文节选}。",,"whm","20230321_ifsbsyghmn"
"177","科研帮助_none_让ChatGPT扮演审稿人","0","chatGPT","chn","请对以下论文摘要进行审稿：{摘要}。",,"whm","20230321_jytntdazqa"
"178","科研帮助_none_让ChatGPT扮演审稿人","0","chatGPT","chn","在{论文节选}中，有哪些潜在的方法论或实验设计上的问题？",,"whm","20230321_wefyvfuacp"
"179","科研帮助_none_让ChatGPT扮演审稿人","0","chatGPT","chn","针对{论文标题}，请提出一些建设性的反馈和改进建议。",,"whm","20230321_xaekwugemv"
"180","科研帮助_none_让ChatGPT扮演审稿人","0","chatGPT","chn","在{论文节选}中，有哪些需要补充或进一步阐述的地方？",,"whm","20230321_brkwpltayj"
"181","科研帮助_none_让ChatGPT扮演审稿人","0","chatGPT","chn","请评估{论文标题}的研究方法和实验设计的有效性。",,"whm","20230321_urdsfwfktv"
