"prompt_id","prompt_semantic_id","function_id","priority","model","language_code","content","chat","author","author_link"
"26","20230321_aiihqsgkeb","data_analysis","0","chatGPT","chn","分析这个数据集，找出关键指标之间的相关性。","-","whm","-"
"27","20230321_hxweyeuvgs","data_analysis","0","chatGPT","chn","对这组客户数据进行聚类分析，以发现潜在市场细分。","-","whm","-"
"28","20230321_wnsyzhdwcy","data_analysis","0","chatGPT","chn","分析公司财务数据，找出收入增长的关键驱动因素。","-","whm","-"
"29","20230321_ivnusmhiwk","data_analysis","0","chatGPT","chn","根据这组产品销售数据，计算产品组合的夏普比率。","-","whm","-"
"30","20230321_quulpvzcln","data_analysis","0","chatGPT","chn","使用蒙特卡洛模拟预测公司未来一年的现金流。","-","whm","-"
"31","20230321_lrnxmncsch","data_visualization","0","chatGPT","chn","使用这些数据创建一个简单的柱状图。","-","whm","-"
"32","20230321_ofstduipsv","data_visualization","0","chatGPT","chn","根据这组数据制作一个堆积柱状图，展示各产品类别的销售情况。","-","whm","-"
"33","20230321_oaohsgbifd","data_visualization","0","chatGPT","chn","使用这些数据创建一个动态散点图，以展示随时间变化的趋势。","-","whm","-"
"34","20230321_kslwoubqly","data_visualization","0","chatGPT","chn","制作一个双轴折线图，以比较销售额和成本之间的关系。","-","whm","-"
"35","20230321_bakvwvzqdl","data_visualization","0","chatGPT","chn","根据这组数据创建一个地理热力图，展示销售在各地区的分布。","-","whm","-"
"36","20230321_xrmjoydqoa","data_visualization","0","chatGPT","chn","使用这些数据绘制一个雷达图，以比较不同产品的性能指标。","-","whm","-"
"37","20230321_xsfjfjraaf","data_visualization","0","chatGPT","chn","根据这组数据创建一个甘特图，以展示项目进度。","-","whm","-"
"38","20230321_nqaygvjuda","data_visualization","0","chatGPT","chn","使用这些数据制作一个箱线图，以分析不同部门的工资差距。","-","whm","-"
"39","20230321_hnvnfrjxyn","data_organization","0","chatGPT","chn","删除这个数据表中的重复行。","-","whm","-"
"40","20230321_saaprolluc","data_organization","0","chatGPT","chn","将这个数据表中的名字和姓氏拆分成两列。","-","whm","-"
"41","20230321_dnqdpttkus","data_organization","0","chatGPT","chn","在这个数据表中，将日期列转换为统一的格式。","-","whm","-"
"42","20230321_iulecbitwc","data_organization","0","chatGPT","chn","使用透视表对这组销售数据进行汇总，按产品类别和区域进行分组。","-","whm","-"
"43","20230321_ogrlqnwgby","data_organization","0","chatGPT","chn","使用条件格式突出显示这个数据表中的异常值。","-","whm","-"
"44","20230321_letaydaijc","data_organization","0","chatGPT","chn","使用数据验证创建一个下拉菜单，以限制某列中的输入选项。","-","whm","-"
"45","20230321_usjltsdtuc","data_organization","0","chatGPT","chn","使用公式在这个数据表中计算每个产品的利润率。","-","whm","-"
"46","20230321_dvigbplqam","budgeting_and_financial_analysis","0","chatGPT","chn","创建一个简单的家庭预算表。","-","whm","-"
"47","20230321_ytqvtwdwkc","budgeting_and_financial_analysis","0","chatGPT","chn","使用这些数据为一个小企业创建一份详细的年度预算。","-","whm","-"
"48","20230321_swzlnzxqcs","budgeting_and_financial_analysis","0","chatGPT","chn","根据这些财务数据计算公司的主要财务比率。","-","whm","-"
"49","20230321_sqqdxttdzr","budgeting_and_financial_analysis","0","chatGPT","chn","使用这些数据为项目创建一个现金流量表。","-","whm","-"
"50","20230321_utuffwjliy","budgeting_and_financial_analysis","0","chatGPT","chn","分析这个投资组合，计算收益率和风险度量。","-","whm","-"
"51","20230321_lfgqwktpbo","budgeting_and_financial_analysis","0","chatGPT","chn","基于这些财务数据，评估公司的盈利能力、流动性和负债水平。","-","whm","-"
"52","20230321_larwveaphg","budgeting_and_financial_analysis","0","chatGPT","chn","使用这些数据为一个项目创建一个灵敏度分析表。","-","whm","-"
"53","20230321_rgzaqvrfzp","budgeting_and_financial_analysis","0","chatGPT","chn","基于这些数据，评估一项潜在投资的净现值","-","whm","-"
"54","20230321_avgpjvpjyv","report_generation","0","chatGPT","chn","为这组数据创建一个简单的文本报告。","-","whm","-"
"55","20230321_otlljndblz","report_generation","0","chatGPT","chn","为这个数据集生成一个包含关键指标和趋势的分析报告。","-","whm","-"
"56","20230321_wacquhofzu","report_generation","0","chatGPT","chn","分析这个数据集，并创建一个涵盖关键发现和建议的报告。","-","whm","-"
"57","20230321_wntdndsbct","report_generation","0","chatGPT","chn","使用这些数据为一个团队创建一个详细的绩效报告。","-","whm","-"
"58","20230321_efqoamvwdb","report_generation","0","chatGPT","chn","根据这个数据表生成一个可视化仪表板报告，展示关键业务指标。","-","whm","-"
"59","20230321_btmpkrbcxp","forecasting_and_modeling","0","chatGPT","chn","基于这个时间序列数据创建一个简单的预测模型。","-","whm","-"
"60","20230321_prmtcgbjcd","forecasting_and_modeling","0","chatGPT","chn","使用这组销售数据创建一个季节性趋势预测模型。","-","whm","-"
"61","20230321_gofgmxqiim","forecasting_and_modeling","0","chatGPT","chn","根据这些数据，创建一个基于多元线性回归的预测模型。","-","whm","-"
"62","20230321_wywtnkavct","forecasting_and_modeling","0","chatGPT","chn","使用这个数据集创建一个基于机器学习的分类模型。","-","whm","-"
"63","20230321_qzhrdchxsj","forecasting_and_modeling","0","chatGPT","chn","分析这组数据，创建一个基于神经网络的预测模型。","-","whm","-"
"64","20230321_uecwndomlr","slide_design","0","chatGPT","chn","创建一个简单的关于[主题]的幻灯片。","-","whm","-"
"65","20230321_rwxoorocje","slide_design","0","chatGPT","chn","设计一个引人注目的[主题]演示文稿，包括5个幻灯片。","-","whm","-"
"66","20230321_vraolpypbp","slide_design","0","chatGPT","chn","为这个[类型]的会议创建一个包含10个幻灯片的专业演示文稿。","-","whm","-"
"67","20230321_kmnhqxpvbx","layout_and_formatting","0","chatGPT","chn","提供一个简洁干净的幻灯片布局设计建议。","-","whm","-"
"68","20230321_knqhbeqwaa","layout_and_formatting","0","chatGPT","chn","设计一个适用于[主题]的创意幻灯片布局。","-","whm","-"
"69","20230321_alplfleanf","layout_and_formatting","0","chatGPT","chn","为这个[主题]的演示文稿优化文字排版和元素布局。","-","whm","-"
"70","20230321_ushthngtbd","charts_and_graphics","0","chatGPT","chn","为这组数据创建一个简单的柱状图。","-","whm","-"
"71","20230321_fwoewehexm","charts_and_graphics","0","chatGPT","chn","使用这些数据创建一个动态的饼图来展示各部分的占比。","-","whm","-"
"72","20230321_znatrctqwi","charts_and_graphics","0","chatGPT","chn","根据这些数据绘制一个趋势线图，展示关键指标随时间的变化。","-","whm","-"
"73","20230321_pmeumltnfl","animation_and_transition","0","chatGPT","chn","为这个幻灯片添加一个简单的切换效果。","-","whm","-"
"74","20230321_kamnwisvis","animation_and_transition","0","chatGPT","chn","为这个演示文稿中的图表添加动画效果。","-","whm","-"
"75","20230321_mgogfijcmt","animation_and_transition","0","chatGPT","chn","设计一套统一的过渡效果和动画，以提升这个演示文稿的观感。","-","whm","-"
"76","20230321_fwcgkmbbhd","presentation_and_notes","0","chatGPT","chn","为这个关于[主题]的幻灯片编写一个简短的演讲稿。","-","whm","-"
"77","20230321_ciayvdiigg","presentation_and_notes","0","chatGPT","chn","为这个[主题]的演示文稿编写详细的备注，以辅助演讲者。","-","whm","-"
"78","20230321_ssfmppgdnl","presentation_and_notes","0","chatGPT","chn","根据这个幻灯片内容，撰写一个吸引听众注意力的开场白。","-","whm","-"
"79","20230321_piwzateode","email_composition","0","chatGPT","chn","草拟一个关于[主题]的简短电子邮件。","-","whm","-"
"80","20230321_drzryqrqwz","email_composition","0","chatGPT","chn","编写一个正式的邀请函，邀请客户参加一个活动。","-","whm","-"
"81","20230321_quszgujnla","email_composition","0","chatGPT","chn","撰写一封感谢信，感谢合作伙伴在项目中的贡献。","-","whm","-"
"82","20230321_ybmaofvccr","email_replies","0","chatGPT","chn","回复这封询问[产品/服务]信息的电子邮件。","-","whm","-"
"83","20230321_vcvudfvrdz","email_replies","0","chatGPT","chn","为这封关于[主题]的投诉信提供一个专业的回应。","-","whm","-"
"84","20230321_pmaatokjka","email_replies","0","chatGPT","chn","回复这封关于[主题]的建议信，表示感激并给出回应。","-","whm","-"
"85","20230321_vzxbhhgupx","email_management","0","chatGPT","chn","提供一些建议，帮助我更有效地管理我的收件箱。","-","whm","-"
"86","20230321_cstymhqsby","email_management","0","chatGPT","chn","创建一个邮件分类规则，以自动对收到的电子邮件进行归类。","-","whm","-"
"87","20230321_nuguaiatyr","email_management","0","chatGPT","chn","为我提供一些设置邮件","-","whm","-"
"88","20230321_dggqwrsncm","schedule_management","0","chatGPT","chn","创建一个简单的会议邀请，包括日期、时间和地点。","-","whm","-"
"89","20230321_tygzhgimvm","schedule_management","0","chatGPT","chn","为我安排一周的工作日程，包括会议、任务和项目截止日期。","-","whm","-"
"90","20230321_qedoguhubf","schedule_management","0","chatGPT","chn","建立一个重复事件，以便每周安排一个固定的团队会议。","-","whm","-"
"91","20230321_tutlphcmni","schedule_management","0","chatGPT","chn","为即将到来的项目创建一个详细的日程计划。","-","whm","-"
"92","20230321_gvsilfwyxz","schedule_management","0","chatGPT","chn","分析我的日程安排，给出一些建议以提高工作效率。","-","whm","-"
"93","20230321_ocuvzjltnt","task_management","0","chatGPT","chn","创建一个简单的任务清单，包括优先级和截止日期。","-","whm","-"
"94","20230321_alvyzhuhlp","task_management","0","chatGPT","chn","帮我规划一个项目，包括各个阶段的任务和责任人。","-","whm","-"
"95","20230321_axojfetixw","task_management","0","chatGPT","chn","为我提供一些建议，以更有效地管理我的待办事项。","-","whm","-"
"96","20230321_ucnfmjfafo","task_management","0","chatGPT","chn","分析我的任务列表，找出可能导致延误的关键任务。","-","whm","-"
"97","20230321_pkezmuqufx","task_management","0","chatGPT","chn","根据我的工作习惯和任务清单，建议一种合适的任务管理方法。","-","whm","-"
"98","20230321_xqjhxvarkm","note_organization","0","chatGPT","chn","创建一个简洁的关于[主题]的笔记模板。","-","whm","-"
"99","20230321_rqgyklyxrd","note_organization","0","chatGPT","chn","为这些无序的笔记创建一个清晰的结构和布局。","-","whm","-"
"100","20230321_uqlhswaqxy","note_organization","0","chatGPT","chn","提供一些建议，帮助我更有效地整理我的笔记。","-","whm","-"
"101","20230321_ckajcjapkf","meeting_notes","0","chatGPT","chn","编写一个简单的会议纪要，包括关键点和决策。","-","whm","-"
"102","20230321_gizfqkxbqr","meeting_notes","0","chatGPT","chn","为这次会议创建一个详细的记录，包括参与者、讨论主题和行动事项。","-","whm","-"
"103","20230321_guydosuzjn","meeting_notes","0","chatGPT","chn","提供一些建议，帮助我更有效地记录会议内容。","-","whm","-"
"104","20230321_uyyyfmexpk","study_notes","0","chatGPT","chn","创建一个关于[主题]的学习笔记模板。","-","whm","-"
"105","20230321_jrwppfjfnh","study_notes","0","chatGPT","chn","根据这些教材和课程内容，为我整理一份学习笔记。","-","whm","-"
"106","20230321_dmuftvgdzb","study_notes","0","chatGPT","chn","分析这些笔记，为我提供一些建议以提高学习效果。","-","whm","-"
"107","20230321_femkblplpi","project_management","0","chatGPT","chn","创建一个项目计划的概述，包括关键阶段和任务。","-","whm","-"
"108","20230321_kbfdfdzsmk","project_management","0","chatGPT","chn","为这个项目创建一个详细的时间表和里程碑清单。","-","whm","-"
"109","20230321_imcakfwejw","project_management","0","chatGPT","chn","分析这个项目计划，提供一些建议以改进和优化。","-","whm","-"
"110","20230321_fgihrbuqok","knowledge_base_and_resource_organization","0","chatGPT","chn","为这些关于[主题]的资源创建一个有组织的知识库。","-","whm","-"
"111","20230321_mdpcqarjgx","knowledge_base_and_resource_organization","0","chatGPT","chn","为我提供一些建议，以便更好地整理和共享这些资源。","-","whm","-"
"112","20230321_gatsqhsslj","knowledge_base_and_resource_organization","0","chatGPT","chn","根据我已有的资源，提供一些建议以发现新的学习材料和信息。","-","whm","-"
"113","20230321_sqmqwisbon","summarize_literature","0","chatGPT","chn","总结以下文献的主要观点和结论：{文献标题}。","-","whm","-"
"114","20230321_lyzqbqwqxv","summarize_literature","0","chatGPT","chn","请概括{作者}在{文献标题}中的核心论点。","-","whm","-"
"115","20230321_ltfsskxztf","summarize_literature","0","chatGPT","chn","在{文献标题}中，{作者}提出了哪些关键方法和实验结果？","-","whm","-"
"116","20230321_ennltdmcna","summarize_literature","0","chatGPT","chn","请提供{文献标题}的简要背景和研究目的。","-","whm","-"
"117","20230321_lhvlqcsquw","summarize_literature","0","chatGPT","chn","在{文献标题}中，作者提出了哪些限制和未来研究方向？","-","whm","-"
"118","20230321_bbnlbtttzv","summarize_literature","0","chatGPT","chn","如何将{文献标题}与{领域}中的其他研究联系起来？","-","whm","-"
"119","20230321_wihulceorh","summarize_literature","0","chatGPT","chn","请描述{文献标题}中的研究设计和方法。","-","whm","-"
"120","20230321_ogmchvxsjo","summarize_literature","0","chatGPT","chn","请概述{文献标题}中的主要贡献和启示。","-","whm","-"
"121","20230321_uweqirwhor","experimental_data_analysis","0","chatGPT","chn","如何使用{统计方法}分析{数据集}？","-","whm","-"
"122","20230321_ttnggmsdxx","experimental_data_analysis","0","chatGPT","chn","在{实验设计}的背景下，哪种数据分析方法最适合？","-","whm","-"
"123","20230321_onmdyhlzll","experimental_data_analysis","0","chatGPT","chn","请解释如何进行{数据分析方法}的步骤。","-","whm","-"
"124","20230321_nxdztbhkmz","experimental_data_analysis","0","chatGPT","chn","如何使用{可视化工具}来展示{数据集}的关键发现？","-","whm","-"
"125","20230321_pninbjeahb","experimental_data_analysis","0","chatGPT","chn","在{实验结果}中，哪些结果具有统计显著性？","-","whm","-"
"126","20230321_myowhgemux","experimental_data_analysis","0","chatGPT","chn","请根据{实验结果}提出一些可能的解释和结论。","-","whm","-"
"127","20230321_rayvysucqq","experimental_data_analysis","0","chatGPT","chn","如何检验{实验假设}在{数据集}中的有效性？","-","whm","-"
"128","20230321_rgviktangg","experimental_data_analysis","0","chatGPT","chn","请解释如何使用{统计软件}来处理{实验数据}。","-","whm","-"
"129","20230321_erdegaudwo","help_with_paper_polishing","0","chatGPT","chn","请检查以下摘要并提出改进建议：{摘要}。","-","whm","-"
"130","20230321_iyuutcpeuf","help_with_paper_polishing","0","chatGPT","chn","如何改进以下论文标题以增强吸引力：{论文标题}？","-","whm","-"
"131","20230321_gilecmpgxg","help_with_paper_polishing","0","chatGPT","chn","请提供以下段落的改写建议：{段落}。","-","whm","-"
"132","20230321_ahqliiwmgr","help_with_paper_polishing","0","chatGPT","chn","如何将以下观点更清晰地表达出来：{观点}？","-","whm","-"
"133","20230321_vfwazpcwpx","help_with_paper_polishing","0","chatGPT","chn","请检查以下引用格式是否正确：{引用}。","-","whm","-"
"134","20230321_ezlymosdco","help_with_paper_polishing","0","chatGPT","chn","在{论文节选}中，有哪些不清楚或令人困惑的地方？","-","whm","-"
"135","20230321_pigguqwacp","help_with_paper_polishing","0","chatGPT","chn","如何改进以下结论以使其更有说服力：{结论}？","-","whm","-"
"136","20230321_lbeyccmybx","help_with_paper_polishing","0","chatGPT","chn","请针对以下论文提出一些建设性的润色建议：{论文节选}。","-","whm","-"
"137","20230321_uqqbnduche","let_chatgpt_play_the_role_of_reviewer","0","chatGPT","chn","请对以下论文摘要进行审稿：{摘要}。","-","whm","-"
"138","20230321_kbmfxllpfj","let_chatgpt_play_the_role_of_reviewer","0","chatGPT","chn","在{论文节选}中，有哪些潜在的方法论或实验设计上的问题？","-","whm","-"
"139","20230321_utvwkypmmu","let_chatgpt_play_the_role_of_reviewer","0","chatGPT","chn","针对{论文标题}，请提出一些建设性的反馈和改进建议。","-","whm","-"
"140","20230321_tkikbtmoew","let_chatgpt_play_the_role_of_reviewer","0","chatGPT","chn","在{论文节选}中，有哪些需要补充或进一步阐述的地方？","-","whm","-"
"141","20230321_hjbdtrezqw","let_chatgpt_play_the_role_of_reviewer","0","chatGPT","chn","请评估{论文标题}的研究方法和实验设计的有效性。","-","whm","-"
"142","20230321_nszmlyubjn","let_chatgpt_play_the_role_of_reviewer","0","chatGPT","chn","在{论文节选}中，作者的论证是否充分？有哪些不足之处？","-","whm","-"
"143","20230321_rvioiwzujx","let_chatgpt_play_the_role_of_reviewer","0","chatGPT","chn","请根据{论文标题}中的实验结果，评估其结论的合理性。","-","whm","-"
"144","20230321_zmvdzsykga","let_chatgpt_play_the_role_of_reviewer","0","chatGPT","chn","请评估{论文标题}的创新性和对{领域}的贡献。","-","whm","-"
"145","20230321_yhoiwzdhwb","help_with_rebuttal","0","chatGPT","chn","审稿人对{论文标题}提出了以下批评：{批评}。如何回应？","-","whm","-"
"146","20230321_fvspvmsrft","help_with_rebuttal","0","chatGPT","chn","针对审稿人对{实验方法}的质疑，请提供一个合理的解释。","-","whm","-"
"147","20230321_jeacxmebzj","help_with_rebuttal","0","chatGPT","chn","审稿人认为{论文节选}中的论证不足，请提供进一步的证据或解释来回应。","-","whm","-"
"148","20230321_rsguhyoajb","help_with_rebuttal","0","chatGPT","chn","针对审稿人对{数据分析}的担忧，请解释为何该方法仍然有效。","-","whm","-"
"149","20230321_xfkxffofuy","help_with_rebuttal","0","chatGPT","chn","请回应审稿人关于{论文标题}创新性不足的评论。","-","whm","-"
"150","20230321_orsnjzrktj","help_with_rebuttal","0","chatGPT","chn","审稿人认为{论文节选}中的结论过于牵强，请提供更有力的论证来支持你的观点。","-","whm","-"
"151","20230321_zkvoeammjr","help_with_rebuttal","0","chatGPT","chn","针对审稿人提出的{建议}，请说明为何你认为这不是一个必要的改动。","-","whm","-"
"152","20230321_gshnpuwmcy","help_with_rebuttal","0","chatGPT","chn","请回应审稿人对{实验设计}的担忧，解释为何这样的设计是合理的。","-","whm","-"
"273","20230321_kxdowuwrau","problem_diagnosis_and_resolution","0","chatGPT","chn","在{language}中，如何解决{issue}问题？","-","whm","-"
"274","20230321_idbalsqchb","problem_diagnosis_and_resolution","0","chatGPT","chn","关于{language}的{issue}问题，有哪些可能的原因？","-","whm","-"
"275","20230321_gxfxozpcod","problem_diagnosis_and_resolution","0","chatGPT","chn","在{language}项目中遇到{issue}问题，如何定位和修复？","-","whm","-"
"276","20230321_pmxnrcehad","problem_diagnosis_and_resolution","0","chatGPT","chn","哪些方法可以帮助我在{language}中解决{issue}问题？","-","whm","-"
"277","20230321_yjfgiakmts","problem_diagnosis_and_resolution","0","chatGPT","chn","在{language}项目中，如何避免{issue}问题的发生？","-","whm","-"
"278","20230321_juqwphjtfp","problem_diagnosis_and_resolution","0","chatGPT","chn","在{language}中，如何提高解决{issue}问题的效率？","-","whm","-"
"279","20230321_hywuhvtaiz","problem_diagnosis_and_resolution","0","chatGPT","chn","关于{language}的{issue}问题，有哪些最佳实践？","-","whm","-"
"280","20230321_geholprvjs","problem_diagnosis_and_resolution","0","chatGPT","chn","在{language}中解决{issue}问题时，需要注意哪些事项？","-","whm","-"
"281","20230321_cslphbvtqw","code_generation","0","chatGPT","chn","如何使用{language}编写一个{functionality}功能？","-","whm","-"
"282","20230321_qaojhbrizm","code_generation","0","chatGPT","chn","在{language}中实现{functionality}功能的代码示例？","-","whm","-"
"283","20230321_imsvgifplu","code_generation","0","chatGPT","chn","使用{language}编写一个{class_or_module}类/模块以实现{functionality}功能？","-","whm","-"
"284","20230321_ortorfwasa","code_generation","0","chatGPT","chn","如何用{language}编写一个简单的{application_type}应用程序？","-","whm","-"
"285","20230321_sschonwtcz","code_generation","0","chatGPT","chn","在{language}中，{functionality}功能的基本实现步骤是什么？","-","whm","-"
"286","20230321_qguiyuvqzp","code_generation","0","chatGPT","chn","使用{language}实现{functionality}功能的最佳实践？","-","whm","-"
"287","20230321_cwvnmkqiec","code_generation","0","chatGPT","chn","如何用{language}编写一个高效的{algorithm}算法？","-","whm","-"
"288","20230321_mdxvcaadlr","code_generation","0","chatGPT","chn","在{language}中，如何实现一个简单的{data_structure}数据结构？","-","whm","-"
"289","20230321_rrullwnjwf","technical_document_writing","0","chatGPT","chn","如何编写关于{language}的{topic}主题的技术文档？","-","whm","-"
"290","20230321_avrcfqbgmx","technical_document_writing","0","chatGPT","chn","在{language}中，关于{topic}主题的最佳实践是什么？","-","whm","-"
"291","20230321_uwcetnozkx","technical_document_writing","0","chatGPT","chn","关于{language}的{topic}主题，有哪些关键概念需要解释？","-","whm","-"
"292","20230321_owimncsxnf","technical_document_writing","0","chatGPT","chn","如何撰写关于{language}项目中{topic}主题的用户指南？","-","whm","-"
"293","20230321_mwhmcukyyc","technical_document_writing","0","chatGPT","chn","在{language}项目中，如何编写{topic}主题的开发者文档？","-","whm","-"
"294","20230321_zabezqyfva","technical_document_writing","0","chatGPT","chn","如何撰写关于{language}的{topic}主题的API文档？","-","whm","-"
"295","20230321_vgicbriabi","technical_document_writing","0","chatGPT","chn","如何编写一篇关于{language}中{topic}主题的教程？","-","whm","-"
"296","20230321_jweyxmezrx","technical_document_writing","0","chatGPT","chn","关于{language}的{topic}主题，有哪些资源可以参考？","-","whm","-"
"297","20230321_fpuacfzgup","code_optimization_suggestions","0","chatGPT","chn","如何优化{language}代码以提高性能？","-","whm","-"
"298","20230321_obrihskydc","code_optimization_suggestions","0","chatGPT","chn","在{language}项目中，如何找到性能瓶颈？","-","whm","-"
"299","20230321_pqxgfmzdty","code_optimization_suggestions","0","chatGPT","chn","如何使用{language}进行内存优化？","-","whm","-"
"300","20230321_qntqaewxdh","code_optimization_suggestions","0","chatGPT","chn","在{language}项目中，有哪些可以提高代码质量的最佳实践？","-","whm","-"
"301","20230321_ilfbiobxjs","code_optimization_suggestions","0","chatGPT","chn","关于{language}的{algorithm}算法，如何进行优化？","-","whm","-"
"302","20230321_iwleirvdms","code_optimization_suggestions","0","chatGPT","chn","在{language}中，如何优化数据库查询性能？","-","whm","-"
"303","20230321_icmawmcqbr","code_optimization_suggestions","0","chatGPT","chn","如何减小{language}项目的响应时间？","-","whm","-"
"304","20230321_cmgpuabfkc","code_optimization_suggestions","0","chatGPT","chn","在{language}中，如何优化多线程和并发性能？","-","whm","-"
"305","20230321_vlepfqiwwz","tool_and_library_recommendations","0","chatGPT","chn","在{language}中，哪些库可以帮助我实现{functionality}功能？","-","whm","-"
"306","20230321_xpnseemxkt","tool_and_library_recommendations","0","chatGPT","chn","关于{language}的{library_or_framework}库/框架，有哪些优势和劣势？","-","whm","-"
"307","20230321_oycgdqozju","tool_and_library_recommendations","0","chatGPT","chn","在{language}项目中，如何选择合适的库或框架？","-","whm","-"
"308","20230321_lcdgxohhnk","tool_and_library_recommendations","0","chatGPT","chn","哪些{language}库或框架适用于{application_type}应用程序？","-","whm","-"
"309","20230321_omlauxqjwn","tool_and_library_recommendations","0","chatGPT","chn","在{language}项目中，如何安装和配置{library_or_framework}库/框架？","-","whm","-"
"310","20230321_uqrsmpwdmc","tool_and_library_recommendations","0","chatGPT","chn","关于{language}的{library_or_framework}库/框架，有哪些最佳实践？","-","whm","-"
"311","20230321_zniwhxlgns","tool_and_library_recommendations","0","chatGPT","chn","如何在{language}项目中升级或替换{library_or_framework}库/框架？","-","whm","-"
"312","20230321_xoittrufvj","tool_and_library_recommendations","0","chatGPT","chn","使用{language}的{library_or_framework}库/框架时，应注意哪些事项？","-","whm","-"
"313","20230321_bvvlaxnyli","design_pattern_implementation","0","chatGPT","chn","如何在{language}中应用{design_pattern}设计模式？","-","whm","-"
"314","20230321_wunijtectt","design_pattern_implementation","0","chatGPT","chn","在{language}中，{design_pattern}设计模式的最佳实践是什么？","-","whm","-"
"315","20230321_kwvyyixolb","design_pattern_implementation","0","chatGPT","chn","如何评估{language}项目中{design_pattern}设计模式的适用性？","-","whm","-"
"316","20230321_lsnmhatoqk","design_pattern_implementation","0","chatGPT","chn","在{language}中，关于{design_pattern}设计模式的代码示例？","-","whm","-"
"317","20230321_opizxtdnvl","design_pattern_implementation","0","chatGPT","chn","使用{language}实现{design_pattern}设计模式的关键步骤？","-","whm","-"
"318","20230321_rorcbdrlpa","design_pattern_implementation","0","chatGPT","chn","如何在{language}项目中优化{design_pattern}设计模式的实现？","-","whm","-"
"319","20230321_ogkemsbxeu","design_pattern_implementation","0","chatGPT","chn","关于{language}的{design_pattern}设计模式，有哪些资源可以参考？","-","whm","-"
"320","20230321_rhjtcbbaon","design_pattern_implementation","0","chatGPT","chn","在{language}中实现{design_pattern}设计模式时，需要注意哪些事项？","-","whm","-"
