"function_id","level_1","level_2","classes","chn_description","eng_description","jpn_description","kor_description","deu_description","fra_description"
"travel_advice","leisure_and_entertainment","none","leisure_and_entertainment","旅行建议","Travel Advice","旅行アドバイス","여행 조언","Reiseberatung","Conseils de voyage"
"game_recommendations","leisure_and_entertainment","none","leisure_and_entertainment","游戏推荐","Game Recommendations","ゲームのおすすめ","게임 추천","Spiel-Empfehlungen","Recommandations de jeux"
"movie_recommendations","leisure_and_entertainment","none","leisure_and_entertainment","电影推荐","Movie Recommendations","映画のおすすめ","영화 추천","Filmempfehlungen","Recommandations de films"
"social_activities_and_gatherings","leisure_and_entertainment","none","leisure_and_entertainment","社交活动与聚会","Social Activities","社交活動と集まり","사교 활동 및 모임","Soziale Aktivitäten und Zusammenkünfte","Activités sociales et rassemblements"
"food_recommendations","leisure_and_entertainment","none","leisure_and_entertainment","美食推荐","Food Recommendations","食べ物のおすすめ","음식 추천","Essensempfehlungen","Recommandations de nourriture"
"art_and_handicrafts","leisure_and_entertainment","none","leisure_and_entertainment","艺术与手工艺品","Art and Handicrafts","アートと手工芸","예술과 공예","Kunst und Handwerk","Art et artisanat"
"shopping_advice","leisure_and_entertainment","none","leisure_and_entertainment","购物建议","Shopping Advice","ショッピングのアドバイス","쇼핑 조언","Einkaufsberatung","Conseils d'achat"
"reading_recommendations","leisure_and_entertainment","none","leisure_and_entertainment","阅读推荐","Reading Recommendations","読書のおすすめ","읽을 거리 추천","Lesetipps","Recommandations de lecture"
"music_recommendations","leisure_and_entertainment","none","leisure_and_entertainment","音乐推荐","Music Recommendations","音楽のおすすめ","음악 추천","Musik-Empfehlungen","Recommandations musicales"
"homework_tutoring","study_tutoring","none","study_tutoring","作业辅导","Homework Tutoring","宿題の家庭教師","숙제 지도","Hausaufgabentutoring","Tutorat en devoirs"
"composition_tutoring","study_tutoring","none","study_tutoring","作文辅导","Composition Tutoring","作文の指導","컴포지션 튜터링","Kompositionstutoring","Tutorat en composition"
"experimental_report_and_scientific_research","study_tutoring","none","study_tutoring","实验报告","Experiment Report","実験報告と科学研究","실험 보고서 및 과학 연구","Experimenteller Bericht und wissenschaftliche Forschung","Rapport expérimental et recherche scientifique"
"speech_and_oral_report","study_tutoring","none","study_tutoring","演讲/口头报告","Speech and Oral Report","スピーチと口頭報告","연설과 구두 보고서","Rede und mündlicher Bericht","Discours et rapport oral"
"career_exploration","study_tutoring","none","study_tutoring","职业探索","Career Exploration","キャリアの探求","직업 탐색","Karriereerkundung","Exploration de carrière"
"language_learning","study_tutoring","none","study_tutoring","语言学习","Language Learning","言語学習","언어 학습","Sprachenlernen","Apprentissage des langues"
"personalized_teaching","teacher_education","none","teacher_education","个性化教学","Personalized Teaching","個別指導","개인 맞춤형 교육","Individueller Unterricht","Enseignement personnalisé"
"test_and_exam_design","teacher_education","none","teacher_education","制定考试/测验","Test/Exam Design","テストと試験の設計","테스트 및 시험 설계","Test- und Prüfungsgestaltung","Conception de tests et d'examens"
"teaching_method_update","teacher_education","none","teacher_education","教学方法更新","Teaching method update","教育方法の更新","교육 방법 업데이트","Aktualisierung der Unterrichtsmethode","Mise à jour de la méthode d'enseignement"
"curriculum_planning","teacher_education","none","teacher_education","课程规划","Curriculum Planning","カリキュラムの計画","교육과정 계획","Curriculum-Planung","Planification du programme"
"personal_statement","copywriting_generation","none","copywriting_generation","个人陈述","Personal Statement","個人声明","개인 선언","Persönliche Erklärung","Déclaration personnelle"
"creative_writing","copywriting_generation","none","copywriting_generation","创意写作","Creative Writing","創意寫作","창의적인 글쓰기","Kreatives Schreiben","Ecriture créative"
"business_writing","copywriting_generation","none","copywriting_generation","商务写作","Business Writing","ビジネスライティング","비즈니스 쓰기","Geschäftsschrift","Rédaction commerciale"
"academic_writing","copywriting_generation","none","copywriting_generation","学术写作","Academic Writing","学術論文の執筆","학술적 글쓰기","Akademisches Schreiben","Rédaction académique"
"film_review_writing","copywriting_generation","none","copywriting_generation","影评写作","Film Review Writing","映画レビューの執筆","영화 리뷰 작성","Filmkritik schreiben","Ecriture de critique de film"
"providing_writing_ideas","copywriting_generation","none","copywriting_generation","提供写作思路","Providing Writing Ideas","ライティングアイデアの提供","글쓰기 아이디어 제공","Bereitstellung von Schreibideen","Fourniture d'idées d'écriture"
"tutorial_writing","copywriting_generation","none","copywriting_generation","教程写作","Tutorial Writing","チュートリアルライティング","튜토리얼 작성","Tutorial schreiben","Rédaction de tutoriels"
"popular_science_writing","copywriting_generation","none","copywriting_generation","科普写作","Popular Science Writing","科学普及文章的撰写","인기 과학 글쓰기","Populärwissenschaftliches Schreiben","Ecriture de vulgarisation scientifique"
"autobiographical_writing","copywriting_generation","none","copywriting_generation","自传体写作","Autobiographical Writing","自伝的な執筆","자서전적 글쓰기","Autobiografisches Schreiben","Ecriture autobiographique"
"christmas_gifts","gift_selection","none","gift_selection","圣诞节礼物","Christmas Gifts","クリスマスギフト","크리스마스 선물","Weihnachtsgeschenke","Cadeaux de Noël"
"thanksgiving_gifts","gift_selection","none","gift_selection","感恩节礼物","Thanksgiving Gifts","感謝祭のギフト","감사절 선물","Dankeschön-Geschenke","Cadeaux de Thanksgiving"
"wedding_gifts","gift_selection","none","gift_selection","新婚礼物","Wedding Gifts","ウェディングギフト","웨딩 선물","Hochzeitsgeschenke","Cadeaux de mariage"
"housewarming_gifts","gift_selection","none","gift_selection","新家礼物","Housewarming Gifts","新築祝いのギフト","집들이 선물","Einweihungsgeschenke","Cadeaux pendaison de crémaillère"
"new_parents_gifts","gift_selection","none","gift_selection","新手父母礼物","New parents Gifts","新しい親のギフト","새로운 부모님 선물","Geschenke für neue Eltern","Cadeaux de nouveaux parents"
"promotion_gifts","gift_selection","none","gift_selection","晋升礼物","Promotion Gifts","昇進祝いのギフト","승진 선물","Beförderungsgeschenke","Cadeaux de promotion"
"mother's_day_gifts","gift_selection","none","gift_selection","母亲节礼物","Mother's Day Gifts","母の日ギフト","어머니 날 선물","Muttertagsgeschenke","Cadeaux de la fête des mères"
"graduation_gifts","gift_selection","none","gift_selection","毕业礼物","Graduation Gifts","卒業祝いのギフト","졸업 선물","Abschlussgeschenke","Cadeaux de graduation"
"father's_day_gifts","gift_selection","none","gift_selection","父亲节礼物","Father's Day Gifts","父の日ギフト","아버지 날 선물","Vatertagsgeschenke","Cadeaux de la fête des pères"
"birthday_gifts","gift_selection","none","gift_selection","生日礼物","Birthday Gifts","誕生日プレゼント","생일 선물","Geburtstagsgeschenke","Cadeaux d'anniversaire"
"anniversary_gifts","gift_selection","none","gift_selection","结婚纪念日礼物","Anniversary Gifts","結婚記念日のギフト","결혼 기념일 선물","Jahrestagsgeschenke","Cadeaux d'anniversaire de mariage"
"retirement_gifts","gift_selection","none","gift_selection","退休礼物","Retirement Gifts","退職のお祝いギフト","은퇴 선물","Ruhestandsgeschenke","Cadeaux de retraite"
"experimental_data_analysis","research_assistance","none","research_assistance","实验数据分析","Experiment Data Analysis","実験データ分析","실험 데이터 분석","Experimentelle Datenanalyse","Analyse de données expérimentales"
"help_with_rebuttal","research_assistance","none","research_assistance","帮助rebuttal","Help with Rebuttal","反論の助け","반박 도움","Hilfe bei Widerlegung","Aide à la réfutation"
"help_with_paper_polishing","research_assistance","none","research_assistance","帮助论文润色","Paper Polishing","論文の磨きを助ける","논문 다듬는 데 도움","Hilfe bei der Papierpolitur","Aide au polissage du papier"
"summarize_literature","research_assistance","none","research_assistance","总结文献","Summarize Literature","文献をまとめる","문헌 요약","Literatur zusammenfassen","Résumer la littérature"
"let_chatgpt_play_the_role_of_reviewer","research_assistance","none","research_assistance","扮演审稿人","Play the Role of Reviewer","ChatGPTを査読者の役割に立たせる","ChatGPT가 심사위원의 역할을하게하십시오","Lassen Sie ChatGPT die Rolle des Gutachters spielen","Laissez ChatGPT jouer le rôle de relecteur"
"writing_guidance","language_learning","none","language_learning","写作指导","Writing Guidance","ライティングガイダンス","쓰기 지도","Schreibberatung","Guidance en écriture"
"vocabulary_memorization","language_learning","none","language_learning","单词记忆","Vocabulary Memorization","語彙の記憶","어휘 기억","Vokabeln merken","Mémorisation du vocabulaire"
"conversation_practice","language_learning","none","language_learning","对话练习","Conversation Practice","会話練習","회화 연습","Konversationspraxis","Pratique de la conversation"
"cultural_understanding","language_learning","none","language_learning","文化了解 ","Cultural Understanding","文化的理解","문화 이해","Kulturelles Verständnis","Compréhension culturelle"
"translation_practice","language_learning","none","language_learning","翻译练习","TranslationPractice","翻訳の練習","번역 연습","Übersetzungspraxis","Pratique de la traduction"
"role-playing","language_learning","none","language_learning","角色扮演 ","Role-playing","ロールプレイ","역할 연기","Rollenspiel","Jeu de rôle"
"grammar_practice","language_learning","none","language_learning","语法练习","Grammar Practice","文法練習","문법 연습","Grammatikübung","Exercice de grammaire"
"reading_comprehension","language_learning","none","language_learning","阅读理解 ","Reading Comprehension","読解力","독해력","Leseverständnis","Compréhension de lecture"
