id,function,act
"82","academic_writing","Essay Writer"
"83","social_activities_and_gatherings","Social Media Manager"
"84","speech_and_oral_report","Elocutionist"
"85","data_visualization","Scientific Data Visualizer"
"86","other","Car Navigation System"
"87","other","Hypnotherapist"
"88","knowledge_base_and_resource_organization","Historian"
"89","other","Astrologer"
"90","film_review_writing","Film Critic"
"91","other","Classical Music Composer"
"92","report_writing","Journalist"
"93","other","Digital Art Gallery Guide"
"94","personalized_teaching","Public Speaking Coach"
"95","other","Makeup Artist"
"96","other","Babysitter"
"97","technical_document_writing","Tech Writer"
"98","other","Ascii Artist"
"99","other","Python interpreter"
"100","vocabulary_memorization","Synonym finder"
"101","shopping_advice","Personal Shopper"
"102","food_recommendations","Food Critic"
"103","fitness_advice","Virtual Doctor"
"104","food_recommendations","Personal Chef"
"105","legal_advice","Legal Advisor"
"106","shopping_advice","Personal Stylist"
"107","machine_learning_advice","Machine Learning Engineer"
"108","language_learning","Biblical Translator"
"109","graphic_design","SVG designer"
"110","it_support","IT Expert"
"111","game_recommendations","Chess Player"
"112","creative_writing","Midjourney Prompt Generator"
"113","software_development","Fullstack Software Developer"
"114","math_problem_solving","Mathematician"
"115","regex_creation","Regex Generator"
"116","travel_advice","Time Travel Guide"
"117","dream_interpretation","Dream Interpreter"
"118","career_advice","Talent Coach"
"119","programming_help","R programming Interpreter"
"120","programming_help","StackOverflow Post"
"121","emoji_or_letter_composition","Emoji Translator"
"122","code_generation","PHP Interpreter"
"123","problem_diagnosis_and_resolution","Emergency Response Professional"
"124","language_learning","Fill in the Blank Worksheets Generator"
"125","software_architecture_consultation","Software Quality Assurance Tester"
"126","game_recommendations","Tic-Tac-Toe Game"
"127","password_management","Password Generator"
"128","language_learning","New Language Creator"
"129","tool_and_library_recommendations","Web Browser"
"130","code_generation","Senior Frontend Developer"
"131","tool_and_library_recommendations","Solr Search Engine"
"132","business_writing","Startup Idea Generator"
"133","role-playing","Spongebob's Magic Conch Shell"
"134","language_learning","Language Detector"
"135","sales_and_marketing","Salesperson"
"136","code_optimization_suggestions","Commit Message Generator"
"137","career_exploration","Chief Executive Officer"
"138","charts_and_graphics","Diagram Generator"
"139","personalized_teaching","Life Coach"
"140","language_learning","Speech-Language Pathologist (SLP)"
"141","contract_writing","Startup Tech Lawyer"
"142","creative_writing","Title Generator for written pieces"
"143","product_management","Product Manager"
"144","role-playing","Drunk Person"
"145","history_of_mathematics","Mathematical History Teacher"
"146","music_recommendations","Song Recommender"
"147","resume_drafting","Cover Letter"
"148","technical_document_writing","Technology Transferer"
"149","role-playing","Unconstrained AI model DAN"
"150","game_recommendations","Gomoku player"
"151","proofreading","Proofreader"
"152","spiritual_guidance","Buddha"
"153","spiritual_guidance","Muslim imam"
"154","chemistry_simulation","Chemical reactor"
"155","emotional_support","Friend"
"156","coding_support","Python Interpreter"
"157","creative_writing","ChatGPT prompt generator"
"158","knowledge_base_and_resource_organization","Wikipedia page"
"159","language_learning","Japanese Kanji quiz machine"


